real,imag
-7.071067811865475727e-01,-7.071067811865474617e-01
-6.363961030678908504e-01,-7.363961030678934927e-01
-5.656854249492390130e-01,-7.656854249492375253e-01
-4.949747468305823461e-01,-7.949747468305836673e-01
-4.242640687119256793e-01,-8.242640687119296983e-01
-3.535533905932737864e-01,-8.535533905932737309e-01
-2.828427124746171195e-01,-8.828427124746197618e-01
-2.121320343559603971e-01,-9.121320343559657928e-01
-1.414213562373085598e-01,-9.414213562373099364e-01
-7.071067811865183739e-02,-9.707106781186558564e-01
0.000000000000000000e+00,-1.000000000000000000e+00
7.071067811865618113e-02,-9.707106781186541911e-01
1.414213562373123623e-01,-9.414213562373083821e-01
2.121320343559637833e-01,-9.121320343559644606e-01
2.828427124746199506e-01,-8.828427124746186516e-01
3.535533905932761178e-01,-8.535533905932728427e-01
4.242640687119275666e-01,-8.242640687119289211e-01
4.949747468305837339e-01,-7.949747468305831122e-01
5.656854249492399012e-01,-7.656854249492373032e-01
6.363961030678912945e-01,-7.363961030678933817e-01
7.071067811865474617e-01,-7.071067811865475727e-01
7.363961030678934927e-01,-6.363961030678908504e-01
7.656854249492375253e-01,-5.656854249492390130e-01
7.949747468305836673e-01,-4.949747468305823461e-01
8.242640687119276999e-01,-4.242640687119304532e-01
8.535533905932737309e-01,-3.535533905932737864e-01
8.828427124746197618e-01,-2.828427124746171195e-01
9.121320343559637944e-01,-2.121320343559652266e-01
9.414213562373099364e-01,-1.414213562373085598e-01
9.707106781186558564e-01,-7.071067811865183739e-02
1.000000000000000000e+00,0.000000000000000000e+00
9.707106781186541911e-01,-7.071067811865618113e-02
9.414213562373083821e-01,-1.414213562373123623e-01
9.121320343559644606e-01,-2.121320343559637833e-01
8.828427124746186516e-01,-2.828427124746199506e-01
8.535533905932728427e-01,-3.535533905932761178e-01
8.242640687119289211e-01,-4.242640687119275666e-01
7.949747468305831122e-01,-4.949747468305837339e-01
7.656854249492393016e-01,-5.656854249492351272e-01
7.363961030678933817e-01,-6.363961030678912945e-01
7.071067811865475727e-01,-7.071067811865474617e-01
6.363961030678957354e-01,-7.363961030678914943e-01
5.656854249492390130e-01,-7.656854249492375253e-01
4.949747468305823461e-01,-7.949747468305836673e-01
4.242640687119304532e-01,-8.242640687119276999e-01
3.535533905932737864e-01,-8.535533905932737309e-01
2.828427124746171195e-01,-8.828427124746197618e-01
2.121320343559652266e-01,-9.121320343559637944e-01
